,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
20,Vidhya Vihar Classes ,"Kalu Sarai, Delhi for IIT JEE / AIEEE (01-Nov-2007)Delhi &amp; NCR ? Delhi courses: * Integrated IIT-JEE/AIEEE programme. Duration of the course: 2 years Fee: Rs. 55,000/- * 1 year integrated IIT-JEE/AIEEE programmes for students of Std XII) Duration: 1 year ","<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/engineering-coaching/new-delhi-engineering.html"" target=""_blank"" title=""IIT Coaching Institutes In Delhi""><font color=""#FF0000"">More IIT Coaching Institutes In Delhi</font></a></div><div class=""pull-left mode2""><script async="""" src=""//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js""></script><!-- Responsive coaching --><ins class=""adsbygoogle"" data-ad-client=""ca-pub-6233003600462508"" data-ad-format=""auto"" data-ad-slot=""6164471508"" style=""display:block""></ins><script>(adsbygoogle = window.adsbygoogle || []).push({});</script></div><a name=""MBBS""></a><h2 title=""MBBS Coaching Institutes New Delhi"">MBBS Coaching Institutes in New Delhi</h2>",,,,,,,,,,,,,,,,,,,,,,,,,
21,Aakash Institute,http://www.aakashinstitute.com,"Aakash Tower, Plot No. 4,Sector-11 MLU, Dwarka",New Delhi,Tel: 011-45543147 / 48,Email:ashish@i2k2.in,,,,,,,,,,,,,,,,,,,,,,
22,Delhi PMT Aakash Institute,http://www.aakashinstitute.com/,"K-11, South Extension (Part-I), ",New Delhi-110049,Tel:+(91)-(11)-24647467, Fax:+(91)-(11)-24645142 ,,,,,,,,,,,,,,,,,,,,,,
23,OASIS Educational Services (OES),http://www.oasiscare.com/,"OES Bhawan, Plot #11, Local Shopping Complex B-1, Opp. Jal Board Vasant Kunj,", New Delhi-110070 ,Tel:+(91)-(11)-26124025-28,Fax:+(91)-(11)-41513570,,,,,,,,,,,,,,,,,,,,,,
24,Sachdeva New P. T. College ,http://www.sachdevacollege.com/,"29, South Patel Nagar ",New Delhi - 110008,"Tel:+(91)-(11)-30917683, 30917590, 25848070,", Fax:+(91)-(11)-25840670,,,,,,,,,,,,,,,,,,,,,,
25,Brilliant Tutorials,http://www.brilliant-tutorials.com,"19-20, Central Market Punjabi Bagh ",New Delhi - 110026,"Tel:+(91)-(11)2522 1424, 25",,,,,,,,,,,,,,,,,,,,,,,
26,Dr. Bhatia Medical Coaching Institute Pvt. Ltd.,http://www.dbmci.com/,"Flat No.7, Unique Apartments, Sector-13, Rohini",New Delhi - 110085,Tel:+(91)-(11)27568832,"<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/mbbs-coaching/mbbscoachingindelhi.html"" target=""_blank"" title=""MBBS Coaching Institutes In Delhi""><font color=""#FF0000"">More MBBS Coaching Institutes In Delhi</font></a></div><a name=""MBA""></a><h2 title=""MBA Coaching Institutes New Delhi"">MBA Coaching Institutes in New Delhi</h2>",,,,,,,,,,,,,,,,,,,,,,
27,Achievers' Academy ,NORTH DELHI :,"RU-75, 3RD FLOOR, PITAM PURA",SOUTH DELHI :,"B-378, C.R. PARK, NR. NEHRU PLACE","7073022, 7073025,6281103, 6284219",,,,,,,,,,,,,,,,,,,,,,
28,AIMS,"13, SATYANIKETAN,","SOUTH CAMPUS, DHAULAKUAN,",NEW DELHI-21,"4100758, 4100759",,,,,,,,,,,,,,,,,,,,,,,
29,Best Education Centre,"C-134, GREATER KAILASH-I,",NEW DELHI-48,"6414247, 6221959, 6416487",,,,,,,,,,,,,,,,,,,,,,,,
30,Brills School of Management,"E-18, LAJPAT NAGAR-III,","B/H. MOOLCHAND HOSPITAL,",NEW DELHI-24.,"4-B PUSA ROAD,, NEW DELHI-8.","6842484, 6322964, 6322965,5826365, 5826366",,,,,,,,,,,,,,,,,,,,,,
31,Bulls Eye,"SOUTH CAMPUS : 12, SATYA NIKETAN","EAST DELHI : G-86, PREET VIHAR","SOUTH DELHI : B-9, SHIVAK","51691856, 32571792,22058049,26693345, 32106948",,,,,,,,,,,,,,,,,,,,,,,
32,Capital Institute of Competition Training,"G-19, 3rd Floor, Community Centre,","Above Tequila Restaurant, Vikas Puri,",New Delhi-110018,"Corp.Off.: D-135, Anand Niketan, New Delhi","Call: 25527006, 25527007,Fax : 25527502",E-mail : info@capitalinstitutes.com ,"<!--Website : <A HREF=""http://www.capitalinstitutes.com"">www.capitalinstitutes.com</A><hr color=""#326732"">-->",,,,,,,,,,,,,,,,,,,,
33,Career Education,"C-1/G, Green Park Extn.,",New Delhi,"6534431, 6534437",,,,,,,,,,,,,,,,,,,,,,,,
34,Career Makers,South Delhi Centre &amp; H.O. :,"A-7, Shivalik, Malviya Nagar",Classes In South Campus Also,"Central Delhi Karol Bagh Centre :17-a/55, Wea, Gurudwara Road, Near Niit",,,,,,,,,,,,,,,,,,,,,,,
35,West Delhi/Janakpuri Centre :,"D1/17, Janakpuri,",Delhi-110 058,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gurgaon Centre :,"Mehrauli Gurgaon Road, ","Sikanderpur, Near Garden Estate","6281978, 6295814, 6548211,5819000,","5819088,5614671,6353589, 9810198466",,,,,,,,,,,,,,,,,,,,,,,
37,Career Forum Pvt. Ltd.,"South Delhi: C-16, Ist Floor,","Sda Commercial Complex,","Opp. Iit Main Gate, New Delhi-110016","North Delhi: 2519, Hudson Lines, Kingsway Camp, Near Vijay Nagar Chowk, Delhi-110009","Phone: 26529494, 26528030, 9313748080",E-mail: Cfdel@cflogic.Com,"Phone: 9313756767<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/mba-coaching/newdelhi.html"" target=""_blank"" title=""MBA Coaching Institutes In Delhi""><font color=""#FF0000"">More MBA Coaching Institutes In Delhi</font></a></div>",,,,"<a name=""TOEFL""></a><h2 title=""TOEFL Coaching Institutes New Delhi"">TOEFL Coaching Institutes in New Delhi</h2>",,,,,,,,,,,,,,,,
38,Council for American Education (CAE),"A-409, Defence Colony,",New Delhi,"Tel: (+91-11) 24330007, 41552577, 24330509",,,,,,,,,,,,,,,,,,,,,,,,
39,Jamboree TOEFL Preparation,,"9 - AB, Taimoor Nagar,","New Friends Colony, New Delhi",," Tel: (+91-11) 65654789/90, 26330336",,"B - 1/16, Vasant Vihar, New Delhi","Tel: (+91-11) 41661811, 41661812, 26140741, 26142857",,"2530, Hudson Lines, 2nd Floor,","Near Kingsway Camp,",North Delhi,"Tel:  (+91-11) 27225695/98, 65650582",,"NM - 4 &amp; 5, Old DLF Colony,","Near Sector 14, Gurgaon","Tel: (+91-124) 4267730, 4267731",,,,,,,,,,
40,Edstar TOEFL Preparation,"402-403, Ansal Towers,","38, Nehru Place, ",New Delhi - 19 ,"Tel: 41674227, 41674281, 9871653759",,"Above Canara Bank, ","Hansraj College Compound,  ","Malkaganj, New Delhi - 7 ","Tel: 27666121, 27666117, 9891108328",,"2nd Floor, Krishna Complex,","Main Nithari Road, ","Sector-31, Noida  ","Tel: (95-120) 3259880, 3259881, 9818435888 ",,"86-A, Sainik Farms, ",New Delhi - 62  ,"Tel: 29552849-51, 55655652, 9818419666",,,,,,,,,
41,Princeton Review TOEFL Preparation,New Friends Colony (South East Delhi): ,"     D-969, 2nd Floor,"," New Friends Colony,", New Delhi.," Ph: (+91-11) 41626803, 41755725 / 6",," H-6, 2nd Floor, Green Park,"," Main Market,", New Delhi., Ph: (+91-11) 41755325 / 6 / 7,," 2271, 1st Floor, "," Hudson Lane (Behind Khalsa College),"," North Campus,", New Delhi.,"     Ph: (+91-11) 27412119, 27412271, 30976725",," M-16, 2nd Floor,"," Old DLF Colony, "," (Next to Sec. 14),", Gurgaon - 122001., Ph: (+91-124) 4087884 / 5 / 6,"<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/study-abroad-exams/toefl-exam/tofel-coaching.html"" target=""_blank"" title=""TOEFL Coaching Institutes In Delhi""><font color=""#FF0000"">More TOEFL Coaching Institutes In Delhi</font></a></div>",,,,"<a name=""GMAT""></a><h2 title=""GMAT Coaching Institutes New Delhi"">GMAT Coaching Institutes in New Delhi</h2>"
42,Council for American Education (CAE),The CAE GMAT classes ,"A-409, Defence Colony, New Delhi","Tel: (+91-11) 24330007, 41552577, 24330509",,,,,,,,,,,,,,,,,,,,,,,,
43,Jamboree GMAT Preparation,"<ul class=""text t001"">9 - AB, Taimoor Nagar, New Friends Colony, New Delhi            Tel: (+91-11) 65654789/90, 26330336        B - 1/16, Vasant Vihar, New Delhi            Tel: (+91-11) 41661811, 41661812, 26140741, 261428572530, Hudson Lines, 2nd Floor, Near Kingsway Camp, North Delhi            Tel:  (+91-11) 27225695/98, 65650582NM - 4 &amp; 5, Old DLF Colony, Near Sector 14, Gurgaon            Tel: (+91-124) 4267730, 4267731</li></li></li></li></ul>",,,,,,,,,,,,,,,,,,,,,,,,,,
44,Edstar GMAT Preparation,"<ul class=""text t001"">402-403, Ansal Towers, 38, Nehru Place, New Delhi - 19             Tel: 41674227, 41674281, 9871653759Above Canara Bank, Hansraj College Compound, Malkaganj, New Delhi - 7             Tel: 27666121, 27666117, 98911083282nd Floor, Krishna Complex, Main Nithari Road, Sector-31, Noida             Tel: (95-120) 3259880, 3259881, 9818435888 86-A, Sainik Farms, New Delhi - 62             Tel: 29552849-51, 55655652, 9818419666</li></li></li></li></ul>",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Princeton Review GMAT Preparation,"<ul class=""text t001"">D-969, 2nd Floor, New Friends Colony, New Delhi.    Ph: (+91-11) 41626803, 41755725 / 6H-6, 2nd Floor, Green Park, Main Market, New Delhi.Ph: (+91-11) 41755325 / 6 / 72271, 1st Floor, Hudson Lane (Behind Khalsa College), North Campus, New Delhi.Ph: (+91-11) 27412119, 27412271, 30976725M-16, 2nd Floor, Old DLF Colony, (Next to Sec. 14), Gurgaon - 122001.Ph: (+91-124) 4087884 / 5 / 6</li></li></li></li></ul><div align=""right""><a class=""links"" href=""https://www.coachingindians.com/management/gmat-exam-coaching.html"" target=""_blank"" title=""GMAT Coaching Institutes In Delhi""><font color=""#FF0000"">More GMAT Coaching Institutes In Delhi</font></a></div>",,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,TargetIIT.com,Address:5/5 Poddar Nagar,City:Kolkata,State/Province:West Bengal,Phone:09332548028,Web Site:www.targetIIT.com,E-Mail:nishantsah@targetiit.com,Additional message:It is an online portal for studying for IIT JEE. There is everything right from the free tests to interactive forums!,,,,,,,,,,,,,,,,,,,,
48,KHRDE,"Bose Academy, 2/7, Sarat Bose Road Vasundhara Building,6th Floor, Kolkata - 700 020, Phone : 033 2475 8276 / 4214 Fax : 033 3053 0003 Website : www.boseacademy.com ","Additional messageWe have Entrance coaching, Computer courses, Fire &amp; Safety, Lab Technician Courses etc",,,,,,,,,,,,,,,,,,,,,,,,,
49,Kota Magic of IIT-JEE/AIEEE/AIPMT in Kolkata,Mobile : 9331904347 ,Phone : 32585120,"Address : 50 Chowringhee Road, Back Building, 3rd Floor",West Bengal - Kolkata ,Career Point has revolutionalised coaching for IIT-JEE/AIEEE/AIPMT in Kota. Since last 4 years it has established itself in Kolkata and the excellent results prove that indeed Kota magic has come to Kolkata at Chowringhee,,,,,,,,,,,,,,,,,,,,,,
50,Excellent Coaching &amp; Tuition At Behala,Mobile : 9836108683 ,Phone : 24940284,Address: West Bengal ? Kolkata ,"IIT Engineer coaches Maths, Physics, ICSE, ISE, ISC, CBSE, HS, VIII - XII &amp; AIEEE, WBJEE, ITTJEE. Available At Behala, Netajinagar.",,,,,,,,,,,,,,,,,,,,,,,
51,IIT JEE Physics coaching,Contact : Amitava das,Mobile : 9830517248 ,"Address: West Bengal, Kolkata ",am an IIT ENGINEER who conducts coaching in PHYSICS for IIT JEE/AIEEE/WBJEE at LAKE MARKET and PARK CIRCUS. contact for further queries.,,,,,,,,,,,,,,,,,,,,,,,
52,"WB JEE/ IIT/ AIEEE, Tuition Available",Contact : Gupta,Mobile : 9830237767 ,"Address: West Bengal, Kolkata ",Gupta's Calsses Provide Tutor for Coaching from NDA/ BHU/ AIIMS/ CBSE - PMT/ ISC/ HS/ MBA/ CAT/ MAT/ MCA/ SSC. Lowest Fees. Baches Start.,,,,,,,,,,,,,,,,,,,,,,,
53,"Tuition for any class from 10 upto 12 CBSE MATHS and JAVA ,C and WEB PAGE DESIGN",Contact : sukumar,Mobile : 9933941968 ,"Address: West Bengal, Kolkata ","Message: hello, I am third year BTech (IIT Kharagpur)student .I have an experience of teaching  for past few years.I  am offering tuition/coaching  for following subjects:",-MATHS CBSE -class 11 &amp; 12  ,-Maths &amp; Science -class 10 CBSE Course only,-Financial accounting(esp derivatives),- JAVA language ,"-WebPage Designing.<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/engineering-coaching/kolkata-engineering.html"" target=""_blank"" title=""IIT Coaching Institutes In Kolkata""><font color=""#FF0000"">More IIT Coaching Institutes In Kolkata</font></a></div><div class=""pull-left mode2""><script async="""" src=""//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js""></script><!-- Responsive coaching --><ins class=""adsbygoogle"" data-ad-client=""ca-pub-6233003600462508"" data-ad-format=""auto"" data-ad-slot=""6164471508"" style=""display:block""></ins><script>(adsbygoogle = window.adsbygoogle || []).push({});</script></div><a name=""MBA""></a><h2 title=""MBA Coaching Kolkata"">MBA Coaching in Kolkata</h2>",,,,,,,,,,,,,,,,,,
54,The CAT Centre,"5TH FLOOR,"," JASODHA BHAWAN-2, ","GARIAHAT CROSSING,", KOLKATA-700019,4601902/1903,,,,,,,,,,,,,,,,,,,,,,
55,Career Launcher,"GARIAHAT : 47A, GARIAHAR ROAD (SOUHT), ABOVE TRADER'S ASSEMBLY,","CAMAC STREET : 1ST FLOOR, SHANTINIKETAN BUILDING, 8, CAMAC STREET ","BURRABAZAR : VIKAR BERRY'S TUTORIALS, 152A, MG ROAD,","HOWRAH : JAIN TUTORIALS, GANGES GARDEN, K.C.S. ROAD, SHIBPUR","24656025, 24617452, 22827071, 30909749, 2660 5671",,,,,,,,,,,,,,,,,,,,,,
56,CET Tutorials (P) Ltd.,"STEPS CONSULTANTS, GREAT EASTERN ARCADE, 1,2 &amp; 3, OLD COURT HOUSE STREET, CENTRAL KOLKATA-69",PHONE : 033-2104142,,,,,,,,,,,,,,,,,,,,,,,,,
57,Erudite Educational Centre,"3 WOOD STREET, GOVIND MAHAL,","1ST FLOOR, KOLKATA-700016","22815641, 22816125","WEBSITE : <a href=""http://www.eruditeedu.com"" rel=""nofollow"">www.eruditeedu.com</a>E-MAIL : franchisee@eruditeedu.com",,,,,,,,,,,,,,,,,,,,,,,
58,IMS Learning Resources Pvt. Ltd. ,"4TH FLOOR, 75C, PARK STREET (ABOVE TITAN SHOWROOM), KOLKATA-16.","2170101, 2170102, 2170103,",E-MAIL : imscal@vsnl.com,,,,,,,,,,,,,,,,,,,,,,,,
59,IMS,"190/1, R.B. AVENUE, GARIAHAT, KOLKATA-29",24659001/2/3,,,,,,,,,,,,,,,,,,,,,,,,,
60,IMS,"CF-135, SECTOR-1, SALT LAKE, KOLKATA-64",23210303/04,,,,,,,,,,,,,,,,,,,,,,,,,
61,Mindev Management Services,"19, BRITISH INDIAN ST., (GR. FLOOR), KOLKATA-69","248-9554, FAX : 2487141",Email:mindevmanagement@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
62,Prime,"4A, ELGIN ROAD, KOLKATA-20","22816839, 22801860",,,,,,,,,,,,,,,,,,,,,,,,,
63,Professional Tutorials,"PRESIDENCY COURT, 1ST FLOOR, 55 GARIAHAT ROAD (BALLYGUNGE PARL), KOLKATA-700 019.",4741451/7720,"WEBSITE : <a href=""http://www.ptindia.com"" rel=""nofollow"">www.ptindia.com</a>",E-MAIL : ptcal@caltiger.com,,,,,,,,,,,,,,,,,,,,,,,
64,Sachdeva College ,"P-111, BLOCK-A, OPP. SBI, LAKE TOWN, KOLKATA-89.","BALLYGUNGE NEW MARKET (A.C.) NR. GARIAHAT CROSSING, KOLKATA-29.","MUNICIPAL MARKET COMPLEX, NR. STATION, KOLKATA","63, RAFI AHMED KIDWAI ROAD, BESIDE BHORUKA BLOOKD BANK, PARK STREET, KOLKATA-16","4635794/95,2165717, 2165718, 2160293",,,,,,,,,,,,,,,,,,,,,,
65,Saraswati Online ,"63/1/2A, SARAT BOSE ROAD, KOLKATA-25","24852229, 24748282, 24544509","WEB : <a href=""http://www.saraswationline.com"" rel=""nofollow"">www.saraswationline.com</a>",,,,,,,,,,,,,,,,,,,,,,,,
66,SKD Educational Consultant,"54, G.C. AVENUE, KOLKATA-700 013.","A, CHOWDHURY, 2ND FLOOR, 1 HOURS Q.S.S. COLOURED LAB HILL CART ROAD, SILIGURI","2216921, 2374025,","MOBILE : 9831001512434898,", MOBILE : 9832093374,,,,,,,,,,,,,,,,,,,,,,
67,Symbiosis Guidance Services,"20D, GARIAHAT ROAD (S), KOLKATA-314121696,", MOBILE : 9830051633,,,,,,,,,,,,,,,,,,,,,,,,,
68,TIME,"58, 2ND FLOOOR, LAKE VIEW ROAD, OFF. RASH BEHARI AVENUE, SOUTH KOLKATA","AB-18, BESIDE STANDARD CHARTERED BANK, PNB CROSSING, SEC-1, SALT LAKE","6TH FLOOR, SABHERWAL HOUSE, 55B FREE SCHOOL STREET, PARK STREET","23378165, 24655654",,,,,,,,,,,,,,,,,,,,,,,
69,TCC Management Systems,"FLAT 12 3RD FLOOR, STEPHEN COURT",(LIFT 2 ABOVE MUSIC WORLD),"18A PARK STREET, KOLKATA-700016","22272209, 22272210",,,,,,,,,,,,,,,,,,,,,,,
70,Vidya Mandir ,"95, BIDHANNAGAR ROAD, 17/220, HUDCO HOUSING, KOLKATA-54","23214438, 9830275966<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/mba-coaching/kolkata.html"" target=""_blank"" title=""MBA Coaching Institutes In Kolkata""><font color=""#FF0000"">More MBA Coaching Institutes In Kolkata</font></a></div>",,,,,,,,,,,,,,,,,,,,,,,,,
