S.NO,NAME,ADDRESS,PHONE NO.,MOBILE NO.,EMAIL,WEBSITE
17,Sla consultants new delhi,"82-83, 3rd Floor, Vijay Block, Above Titan Eye Shop, Metro Pillar No. 52, Laxmi Nagar, Pincode - 110092",+91 011 47519207,+91 9069663742,hr@slaconsultantsindia.com,www.slaconsultantsindia.com
18,Netlabs its new delhi,"N25, South Extension, Part-I New Delhi, Pincode - 110049","+91 011 41646262, 24641080",+91 9278208308,info@netlabsits.com,www.netlabsits.com
19,Vetrii ias academy chennai,"Muthiah Hall, Old No.52, New No.1, 9th Street, F Block, 1st Avenue Main Road, (Near Istha siddhi Vinayakar Temple), Anna Nagar East, Chennai, Pincode - 600102",+91 44 26265326,+91 95000 05522,chennai@vetriias.com,www.vetriias.com
20,Gurukripa career institute sikar,"Piprali Road, Jyoti Nagar, Sikar, Rajasthan, Pincode - 332001",+91 1572 256688,+91 1800 123 5088,info@gurukripa.ac.in,gurukripa.ac.in
21,The winners apos academy mumbai,Pincode - 400033,+91 91 9967122048,+91 9967122048,thewinnersacademy3@gmail.com,www.thewinnersacademy.in
22,Learnpact training academy chennai,"#4, 1st floor, Vishwalaya, Walder street, Anna Salai, Chennai, Tamil Nadu, Pincode - 600002",+91 44 42027475,+91 9445348493,learnpact@gmail.com,www.learnpact.com
23,Revanth technologies hyderabad,"B1,3rd Floor, Eureka Court, Near Image Hospital, Ameerpet, Hyderabad, Telangana, Pincode - 500073",+91 40 64559566,+91 9290971883,revanth1122@gmail.com,revanthtechnologies.com
24,Cavalier india kk plaza ram nagarkanpur road alambagh lucknow lucknow,Pincode - 226005,"+91 522 4113530 , 4045476","+91 098388 65518 ,8853266362",lucknow@cavalierindia.com,www.thecavalierindia.com
25,The brand saloon digital marketing training institute mumbai,"1st Floor, Amar House, Near Sharda Cinema roads,, Naigaon Cross Rd, Dadar East, Mumbai, Pincode - 400014",+91 22 31929248,+91 0982138499,sunithatbs@gmail.com,http://thebrandsalon.com/
26,Mg techno savvy pvt ltd jaipur,"B-121, Mangal Marg, Bapu Nagar, Bapu Nagar, Jaipur, Rajasthan, Pincode - 302015",+91 141 4027763,+91 9252672449,mangal82@ymail.com,www.mgtechnosavvy.in
27,Drum zone institute of drums mumbai,"Sujata Building, Shop No. 9,Juhu-Tara Road, Opposite Santacruz Police Station,, Santacruz(West),, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra, Pincode - 400055",+91 91 9167141469,+91 9833518423,kiranroy666@gmail.com,www.guitarhallonline.com
28,Shito ryu karate do academy of india japan karate do nobukawa ha shito ryu kai india pune,Pincode - 411013,+91 20 9890102359,+91 9890102359,shitoryukaratedo@gmail.com,www.karatedoindia.com
29,Mindscreen film institute chennai,"4, Ranga Lane, Ranga Road, Mylapore, Chennai, Pincode - 600004",+91 44 42108682,+91 9841612595,mindscreen@mindscreen.co.in,www.mindscreen.co.in
30,Guitar hall academy boutique mumbai,"B-Wing, Accord Housing Society Borivali West Mumbai - 400092, Pincode - 400071",+91 91 9820428423,+91 9833518423,guitarhallonline@gmail.com,www.guitarhallonline.com
31,Defence public school new delhi,Pincode - 110024,+91 11 47633333,+91 9999033388,sdpschooldefcol@gmail.com,www.southdelhipublicschool.com/
32,Tara institute new delhi,"Plot No 3, 3rd Floor, Main Road, Opposite Rajkiya Inter College, Amaltash Marg, Chaura Raghunathpur, Raghunathpur, Pincode - 110062",+91 11 32029600,+91 9999265274,tarainstitute@ymail.com,www.tarainstitute.com
33,Adarsh institute new delhi,Pincode - 110085,+91 11 27570861,+91 9891166382,adarsh_institute@yahoo.co.in,praveen-gola.blogspot.com
34,Set civil services foundation srinagar,"Email Id - NIL, Pincode - 190008",+91 194 2480920,+91 9419079125,set_csf@indiatimes.com,NIL
35,The commerce guru panipat,"The Commerce Guru Education  Main Road, Bishan Saroop Colony  Panipat, Pincode - 132103",+91  91 9711305757,+91 9422931791,Info@thecommerceguru.com,www.thecommerceguru.com
36,Vikasyojana educare academy koppal,Pincode - 583231,+91 8396 220898,+91 9900412413,vikasyojana@yahoo.com,www.vikasyojana.webs.com
37,Jiiz academy of education mumbai,Pincode - 400095,+91 22 28801644,+91 9870770887,jahoorji@yahoo.co.in,www.jiizcollege.com
38,Tirumala center for distance education hyderabad,"#403, Koushik Sai Rama Residency,, Lane Besides Icici Bank, S R Nagar,, Hyderabad, Telangana, Pincode - 500038",+91 40 64557797,+91 9912336317,tirumalait@gmail.com,NIL
39,Kumar classes mumbai,"2, Jamasji Apartments, 32, N. Barucha Marg,, Grant Rd west, Grant Road West, Grant Road, Mumbai, Maharashtra, Pincode - 400007",+91 22 65821722,+91 9820000374,bdj12b@gmail.com,www.ptbonline.net
40,Prashant narayan accountancy classes udaipur,"205 Aakar Complex (near Anand Plaza), mohanlal Sukadia University Road, Udaipur, Rajasthan, Pincode - 313001",+91 294 2493337,+91 09784596937,prashantpnarayan@gmail.com,NIL
41,Sanskar tutorials mumbai,"Sanjay Nagar, Sanjay Nagar, Andheri East, Pincode - 400005",+91 22 0,+91 9773456513,sanskareducation71@gmail.com,www.sanskareducation.hpage.com
42,S m s coaching classes mumbai,"Email Id - NIL, Pincode - 400706",+91 22 27707032,+91 9820002499,smrutimshetty@gmail.com,NIL
43,Bsl training company british school of language new delhi,"N-5, Bajrang House, 1st Floor, Ring Road, South Extension 1, Delhi - 110049, Adj To Kurta Palace,Next To Flyover,Near Landmark, Pincode - 110015",+91 11 65461601,+91 9873004842,response@bsltraining.co.in,www.bsltraining.co.in
44,English world ahmedabad,"Email Id - NIL, Pincode - 380025",+91 79 64504055,+91 9228859992,harry_british99@yahoo.co.in,NIL
45,Kumar classes mumbai,"2, Jamasji Apartments, 32, N. Barucha Marg,, Grant Rd west, Grant Road West, Grant Road, Mumbai, Maharashtra, Pincode - 400007",+91 22 65821722,+91 9820000374,bdj12b@gmail.com,www.ptbonline.net
46,Kapri institute of english speaking amritsar amritsar,"1-d, Dayanand Nagar, Street No 1, Lawrence Road, Lawrence Road, Pincode - 143001",+91 183 2402144,+91 09872010933,kapri.amritsar@yahoo.com,www.kapriindia.com
47,Trump gates a unit of dmc international limited new delhi,"H-108, 2nd Floor, Opp. Hotel Marina, Connaught Place, Pincode - 110001","+91 11 41513567 68,43694444 100 lines","+91 9910630702, 9990612945",info@trumpandgates.com,www.trumpandgates.com
48,Career launcher kukatpally center hyderabad,"Email Id - NIL, Pincode - 500072","+91 40 40031834, 66331834",NIL,NIL,NIL
49,Achievers point new delhi,"G-4, First Floor, Hauz Khas, Pincode - 110016",+91 011 46543884,+91 9899004123,info@achieverspoint.com,www.achieverspoint.com
50,Edvantage education private ltd hyderabad,"Email Id - NIL, Pincode - 500029","+91 40 2326 4360,62",NIL,NIL,NIL
51,Vasantdada sugar institute pune,"Manjari Budruk, Tal.: Haveli, Dist.: Pune Maharashtra, Pincode - 412307",+91  91–020–26902100,NIL,NIL,NIL
52,Iit kharag pur kharagpur,"Email Id - NIL, Pincode - 721302",NIL,NIL,NIL,NIL
53,Pdpm indian institute of information technology design manufacturing,"Email Id - NIL, Pincode - 482005",+91  076127 94065,NIL,NIL,NIL
54,Global institute of technology management gurgaon,"5KM Mile Stone, Haily Mandi Road, Kheda Khurrampur, Farrukhnagar, Gurgaon, Haryana, Pincode - 122506","+91 124 2016600,201 6700",+91 9654688737,gitmadmission2012@hotmail.com,www.gitmgurgaon.com
55,Khalsa college of engineering technology amritsar punjab amritsar,"C Block, Ranjit Ave, Amritsar, Punjab, Pincode - 143001",+91 183 9876171638 | 9463572187 | 9855424743 |9501638220 |503 0763,"+91 7355601600, 7355555900 |9780200797 |9915699558 |",director@kcet.co.in,www.kcet.co.in
56,Pravara institute of medical sciences dist ahmednagar ahmadnagar,"A/p Loni , Tal Rahata, Near Shiridi, Ahmednagar, Pincode - 413736","+91 2422 273600, 273486,271226",NIL,NIL,NIL
57,Sri guru granth sahib world university fathegarh sahib chandigarh chandigarh,"Sikh University Rd, Near Jyoti Saroop Gurudwara, Fatehgarh Sahib, Punjab, Pincode - 140407",+91 173 232 300,NIL,NIL,NIL
58,Tata institute of fundamental research tal junnar dist pune junnar,"Email Id - NIL, Pincode - 400005",+91 022 2278 2000,NIL,NIL,NIL
59,Galaxy global group of institutions ambala,"Knowledge Resort, Shahabad-Saha-Panchkula Highway NH-73, Dinarpur, Ambala, Haryana, Pincode - 133102",+91 171 2830111,+91 09254275244,info@galaxyglobaledu.com,www.galaxyglobaleu.com
60,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
61,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
62,Insurance punditz jabalpur,Pincode - 482001,+91 761 4004478,+91 9770867475,anand.perfect@gmail.com,www.insurancepunditz.com
63,Intact lucknow,Pincode - 226010,+91 522 4000461,+91 9889647678,info.intactindia@gmail.com,www.intactlearning.com
64,Lotus learning academy auth st centre m s university tamilnadu cuttack,"Ruby Plaza,1st Floor,Link Road,Arunodaya Market, Beside N.M.Tutorial., Link Rd, Old LIC Colony, Cuttack, Odisha, Pincode - 753012",+91 671 3208594,+91 9338822611,lotus.learning.academy@gmail.com,NIL
65,Shri m d shah mahila college of arts and commerce mumbai,"BJ Patel Rd, Near Liberty Garden, Malad West, Mumbai, Maharashtra, Pincode - 400064",+91 22 28824860,+91 9899999999,mdshah.ignou.smd4064@gmail.com,NIL
66,Alltere life varsiry online manonmaniam sundaranar university coimbatore,Pincode - 641043,+91 0 8144121001,+91 8144121001,bell.pathfinder@gmail.com,www.msuonlinecourses.com
67,Cmc academy new delhi,"8,Vaishali Enclave,Main Metro Road,  Pitam Pura,(Opp. Metro Pillar No. 351), Pincode - 110026",+91 11 30783040,+91 9212517772,cmc.punjabibagh@gmail.com,www.cmcltd.com
68,Iifca bangalore,"Koramangala Industrial Layout, Koramangala, Bengaluru, Pincode - 560071",+91 80 41638548,+91 9900252243,lipi.iifca@gmail.com,www.iifca.com
69,Ecl academy new delhi,"Nandi Vithi Rd, Greater Kailash I, New Delhi, Delhi, Pincode - 110048",+91 11 46582579,+91 9891257001,info@educareer.in,www.eclonline.in
70,Dynamic institute of computer education and science technology jaipur,"D-56, Chhayadeep-2 Colony, Rup Nagar, Gopalpura, Jaipur, Rajasthan, Pincode - 302015",+91 141 2592018,+91 9783277847,arun_dci@yahoo.co.in,NIL
71,Euro chroma institute of cosmetology new delhi,"35, Link Road, Lajpat Nagar 3, Pincode - 110024",+91 011 41615040,+91 9560095624,institute@eurochroma.com,www.eurochroma.com
72,Arch college of design and business jaipur,"Plot No. 9, Govind Marg, Malviya Nagar Institutional Area, Malviya Nagar, Pincode - 302017",+91 0141 4060500,+91 9414070678,admission@archedu.org,www.archedu.org
73,Instituto design innovation idi institute of fashion and interior design hyderabad,"3-6-475/7, 4th Floor, Kalpa Vruksha Estate, Above HDFC Bank, Opp. Vasu Medical, Himayath Nagar, Pincode - 500029",+91  04060500501,+91 9885099577,info@idi.co.in,www.idi.co.in
74,Shree nidhi computer centre coaching centre new delhi,"Email Id - NIL, Pincode - 110085","+91 11 27048263 , 64",+91 9891184426,k_nayyar@yahoo.com,NIL
75,Vbs institute of hr study management reasearch new delhi,"Pataudi House, New Delhi, Delhi, Pincode - 110001",+91 11 45078920,+91 9212738168,hr@vbscindia.com,www.vbscindia.com
76,Bpl education research academy jhansi,"Email Id - NIL, Pincode - 284003",+91 510 05102450243,+91 9415090798,pr_kh@rediffmail.com,NIL
77,Sapna vocational institute lucknow,Pincode - 226024,+91 522 4044933,+91 9889783673,anilgbyks@gmail.com,snehbhatnagar.tripod.com
78,Caltech international kolkata,"166/A Roy Bahadur Rd, Behala, Kolkata, West Bengal, Pincode - 700053",+91 33 9836626333,+91 9836626333,op1@caltechinternational.net,www.caltechinternational.net
79,Lotus learning academy auth st centre m s university tamilnadu cuttack,"Ruby Plaza,1st Floor,Link Road,Arunodaya Market, Beside N.M.Tutorial., Link Rd, Old LIC Colony, Cuttack, Odisha, Pincode - 753012",+91 671 3208594,+91 9338822611,lotus.learning.academy@gmail.com,NIL
80,Nam institute of professional studies new delhi,"H-68, 2ND FLOOR, Har Gyan Singh Arya Marg, Block H, South Extension I, New Delhi, Pincode - 110049","+91 11 41670082,83",+91 9911757394,namipsdelhi@gmail.com,www.namedu.org
81,Pdpm indian institute of information technology design manufacturing,"Email Id - NIL, Pincode - 482005",+91  076127 94065,NIL,NIL,NIL
82,Cliniminds mumbai mumbai,"89/B , 102 , 2nd Floor, Sundaram, Sion Circle, Sion East, Mumbai, Maharashtra, Pincode - 400022",+91 22 64526546,+91 9833936259,mumbai@cliniminds.com,www.cliniminds.com
83,Pravara institute of medical sciences dist ahmednagar ahmadnagar,"A/p Loni , Tal Rahata, Near Shiridi, Ahmednagar, Pincode - 413736","+91 2422 273600, 273486,271226",NIL,NIL,NIL
84,Tata institute of fundamental research tal junnar dist pune junnar,"Email Id - NIL, Pincode - 400005",+91 022 2278 2000,NIL,NIL,NIL
85,Cliniminds mumbai,"89/B , 102 , 2nd Floor, Sundaram, Sion Circle, Sion East, Pincode - 400022",+91 22 64526546,+91 7738476984,mumbai@cliniminds.com,www.cliniminds.com
86,Academy of fixed orthodontics palakkad,"National Dental Clinic, Guruvayur Road, Palakkad, Thrithala, Pincode - 679534",+91 466 2271771,+91 9961658186,orthocourse1@gmail.com,drravikumar.in/certificate_programmes.html
87,Ipmt sansthan lachhmangarh,"Near Mody College, Laxmangarh Sikar, Pincode - 332311",+91 1573 298019,+91 0998318172,ipmt2012@gmail.com,NIL
88,Saastra college of pharmaceutical education research nellore,"Near Varigonda Jwalamukhi Temple Muttukur Road, Kakupalli, Nellore, Andhra Pradesh, Pincode - 524311",+91 861 2334433,+91 9441885915,saastralc@gmail.com,www.saastralc.com
89,Veeram anasuyamma vocational junior college kurnool,"Email Id - NIL, Pincode - 518432",+91 8513 232010,+91 9441761261,mathango@rediffmail.com,NIL
90,Indira gandhi institute of dental sciences kothamangalam,"Villupuram, Tamil Nadu, Pincode - 686693",+91 485 6451630,+91 9446034201,shiyas@igmt.org,www.igmt.org
91,National academy of agricultural research management hyderabad,"Rajendranagar,Hyderabad ,Telangana, India, Pincode - 500030","+91 040 091 40 24581300,333",NIL,NIL,NIL
92,Global institute of technology management gurgaon,"5KM Mile Stone, Haily Mandi Road, Kheda Khurrampur, Farrukhnagar, Gurgaon, Haryana, Pincode - 122506","+91 124 2016600,201 6700",+91 9654688737,gitmadmission2012@hotmail.com,www.gitmgurgaon.com
93,Institute for future education entrepreneurship and leadership pune,"Off Karla Phata, Ekveera Devi Gramasthan Road,, Village-Karla, Taluka-Maval, Pune, Maharashtra, Pincode - 412106",+91 22 02114282818,"+91 02114282192,99303 63983",deepesh.j@ifeel.edu.in,www.ifeel.edu.in
94,Iimt international institute of management and technical studies ahmedabad,"IIMT (H.O), 56, B-Wing, Pariseema Complex, Bodyline Cross Road, C.G. Road, Ahmedabad, Gujarat- India, Pincode - 380009",+91 79 32959200,+91 9016331221,info@iimtgroup.com,"www.iimtstudies.com , www.iimtgroup.com"
95,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
96,Jb institute of technology dehradun,"23 Milestone, NH-07, Shankerpur, Chakrata Road, Dehradun, Uttarakhand, Pincode - 248197",+91 135 2698880,+91 9412053459,jbit@in.com,www.jbitdoon.com
97,Qbi institute noida,"Vatika usiness Centre, Okaya Building B (Near IIM Lucknow), B Block, Phase 2, Industrial Area, Sector 62, Noida, Uttar Pradesh, Pincode - 201301",+91 120 4255597,+91 9810055734,info@qbi.in,www.qbi.in
98,Indian management school research centre mumbai,Pincode - 400705,+91 22 27810756,+91 9819120140,info@imsrindia.com,www.imsrindia.com
99,Ids national institute of real estate management nirem new delhi,"328, 3rd Floor, Vardhman Jay Pee Plaza Plot-7, Sector-4, Dwarka, New Delhi, Delhi, Pincode - 110078",+91 11 32996948,+91 9999886948,nirem.india@gmail.com,www.nirem.org
100,Sapna vocational institute lucknow,Pincode - 226024,+91 522 4044933,+91 9889783673,anilgbyks@gmail.com,snehbhatnagar.tripod.com
101,Venus overseas vapi ina,"Email Id - NIL, Pincode - 396195",+91 260 2423210,+91 9374029864,vapi.venus@gmail.com,NIL
102,Edward lobo mumbai,Pincode - 400025,+91 7825 11107,+91 7825211107,edwardlobo@sphereunited.com,www.sphereunited.com
103,Ronak babel udaipur,Pincode - 313001,+91 294 9351444348,+91 9351444348,ronakbabel@gmail.com,www.krishitsolutions.com
104,Pegasusmanagementconsultants com chennai,Pincode - 600091,+91 44 22580202,+91 9176601307,karthik@pegasusmanagementconsultants.com,www.pegasusmanagementconsultants.com
105,Divine foundation kolkata,"21/5, Sahapur Colony (W), Plot No. 70,, 2nd Floor, North Block, New Aipore, Pincode - 700053",+91 33 24988203,+91 9883562343,foundation.divine@gmail.com,www.divinefoundation.in
106,Global education service siliguri,"197 People's TV Building (4 th Floor) Raja Rammohan Roy Road, Hakimpara Opposite of Bidhan Market Auto Stand, Pincode - 734001",+91 353 2520401,+91 9002003773,support@india-ges.com,www.india-ges.com
107,Edulife counseling services bareilly,"2, Silver St, University Road, Bareilly Ho,Near Mahangar Colony, Funix Mall, Pincode - 243001",+91 581 2516300,+91 9917168881,office@edulife.in,www.edulife.in
108,Raiaa new delhi,"B-28 New Krishna Park Vikaspuri, Near Janakpuri West, Pincode - 110049",+91 0 9711154148,+91 9711154148,raiaa.study@gmail.com,www.raiaa.in
109,Wow factors india pvt ltd new delhi,"No. 31, 2nd Floor, Masjid Road, Jangpura Extension, Pincode - 110014",+91 11 24379551,+91 9311457660,info@wowfactors.net,www.wowfactors.net
110,Javed siddiqui new delhi,Pincode - 110053,+91 11 22174828,+91 9311001010,javedinfocom@yahoo.co.in,Under Construction
111,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
112,Eminence technologies new delhi,Pincode - 110058,+91 11 41573237,+91 9971783992,info@eminencetechnologies.co.in,www.eminencetechnologies.co.in
113,Sharma institute of technological education site niwai,"Sharma Institute of Technological Education(SITE COMPUTER), Tonk Road, Newai, Distt. - Tonk (Rajasthan), Pincode - 304021",+91 1438 223813,+91 9214996730,sitecomnwi@rediffmail.com,NIL
114,Jb institute of technology dehradun,"23 Milestone, NH-07, Shankerpur, Chakrata Road, Dehradun, Uttarakhand, Pincode - 248197",+91 135 2698880,+91 9412053459,jbit@in.com,www.jbitdoon.com
115,Nshm knowledge campus durgapur durgapur,"Arrah, Shib Tala, Durgapur, West Bengal, Pincode - 713212",+91 343 2533813,+91 09832283305,anantakhasnobis@yahoo.in,www.nshm.com/durgapur/colleges/management_technology/bca.php
116,Rb technosoft agra,"Mantola, Agra, Uttar Pradesh, Pincode - 282003",+91 562 2620663,+91 9219709988,rb.technosoft@gmail.com,NIL
117,Net xprt institute noida,"B-60, Sector 10, Noida, Uttar Pradesh, Pincode - 201301",+91 120 4346847,+91 9268829812,anoop.vyas@netxprt.com,www.netxprt.com
118,Intact lucknow,Pincode - 226010,+91 522 4000461,+91 9889647678,info.intactindia@gmail.com,www.intactlearning.com
119,Nam institute of professional studies new delhi,"H-68, 2ND FLOOR, Har Gyan Singh Arya Marg, Block H, South Extension I, New Delhi, Pincode - 110049","+91 11 41670082,83",+91 9911757394,namipsdelhi@gmail.com,www.namedu.org
120,Vividh edutech pvt ltd dharmsala,"Gurkha Bhawan, Shyam Nagar Rd, Chilgari, Dharamshala, Himachal Pradesh, Pincode - 176215",+91 1892 227222,+91 9816024365,info@vividhedutech.com,www.vividhedutech.com
121,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
122,Intact lucknow,Pincode - 226010,+91 522 4000461,+91 9889647678,info.intactindia@gmail.com,www.intactlearning.com
123,Computer point technical college babhnan basti,"SH 1A, Uttar Pradesh, Pincode - 272161",+91 5546 256355,+91 9838476100,bbnpoint@gmail.com,www.computerpointbbn.com
124,Ihs education kolkata,"105, Kanungo Park, Garia, Pincode - 700084",+91 33 24306297,+91 9836174664,ihsindia@in.com,NIL
125,Crystal lingua new delhi,"Dariya Gunj, Near Moti Mahal Restaurant, New Delhi, Pincode - 110002",+91 11 23286349,+91 9999990958,crystal.lingua@gmail.com,crystal-lingua.blogspot.com
126,Shri m d shah mahila college of arts and commerce mumbai,"BJ Patel Rd, Near Liberty Garden, Malad West, Mumbai, Maharashtra, Pincode - 400064",+91 22 28824860,+91 9899999999,mdshah.ignou.smd4064@gmail.com,NIL
127,Nimtt jalpaiguri centre jalpaiguri,"ally Academy, Lichutala,ThanaRoad,Ukilpara ,Raiganj ,Uttar Dinajpur, Pincode - 735101",+91 3561 9233515727,+91 9233448890,nimttjalpaiguri@gmail.com,nimttgroup.in
128,Ajanta school of foreign languages amritsar,"Near Race Course Road, Basant Avenue, White Avenue, Amritsar, Pincode - 143001",+91 183 2223121,+91 9417180951,dckapoorasfl@gmail.com,www.asflamritsar.com
129,International institute of language and culture iilc kolkata,"BD Saltlake, Kolkata, Kolkata, Pincode - 700064",+91 33 9330531540,+91 9330531540,iilc.kolkata@yahoo.in,NIL
130,Etiquette essentials gurgaon,"No. F- 39, JMD Galleries, Opposite Malibu Town, Sohna Road, Pincode - 122018",+91 124 4251780,+91 9873123885,infos@etiquettessentials.com,www.etiquettessentials.com
131,Edit institute mumbai,"Mr. Pravin Bade Madhaveshwar CHS, 1st Floor, flat no. 8, above bootmaker, Next to andheri west Bus Depot, S.V. Road, Andheri(W), mumbai, Pincode - 400058","+91 22 23865161,24327715,24327716,26705012",+91 9820400648,georgedanls@gmail.com,www.edit.co.in
132,Osiyan school of business management and animation new delhi,Pincode - 110030,+91 11 64704555,+91 9810856957,info@osbma.in,www.osbma.in
133,Nam institute of professional studies new delhi,"H-68, 2ND FLOOR, Har Gyan Singh Arya Marg, Block H, South Extension I, New Delhi, Pincode - 110049","+91 11 41670082,83",+91 9911757394,namipsdelhi@gmail.com,www.namedu.org
134,V3 infotech hub shimla,"Shop no 4 , DRC ComplexLakker BazarShimla, Pincode - 171011",+91 177 2774026,+91 9816013713,anilgsimla@gmail.com,NIL
135,Midds animation multimedia graphic design vfx institute lucknow,"Lucknow, Pincode - 226010",+91 522 4079070,+91 8090805656,middslucknow@gmail.com,www.midds.org
136,Academy of animation and gaming aag new delhi,"Pearl Best Height-1, 13th Floor, Netaji Subhash Place, Pincode - 110092",+91 11 43282005,+91 9560844889,preetvihar@aag.edu.in,aag.edu.in
137,Animotion multimedia education ahmedabad,"239, saman complex, Premchand Nagar Rd, Satellite, Ahmedabad, Gujarat, Pincode - 380058",+91 79 40031280,+91 9825350672,mail@animotionedu.com,www.animotionedu.com
138,Pumpkin academy of digital arts animation vfx experts new delhi,"PUMPKIN ACADEMY OF DIGITAL ARTS(animation &amp; Vfx Experts), Pincode - 110027",+91 11 25923331,+91 9350104211,hardeepgill7@rediffmail.com,www.pumpkininteractive.in
139,Zee networks education centres lucknow,"3rd Floor, Rana Pratap Marg,Hazratganj, Pincode - 226020",+91 522 4104448,+91 9918677047,nigam_gaurav7@yahoo.com,NIL
140,Website school pune,"Amanora Park Town, No. 194, Village Sade Satara Nali, Malwadi Road, Hadapsar-Kharadi Bypass, Pincode - 411038",+91 20 222852,+91 8007479787,shailendra.adhav@gmail.com,www.websitewale.in
141,Army public school unchi bassi hoshiarpur,"Army Public School - Unchi Bassi, P.O. Lamin, Teh: Dasuya, Pincode - 144205",+91  01833 253200,NIL,NIL,NIL
142,Sainik school kunjpura karnal,"AINIK SCHOOL KUNJPURA CITY – KARNAL, Pincode - 132023",+91  0184 2384551,NIL,NIL,NIL
143,The air force school new delhi,"Subroto Park, Delhi Cant, Pincode - 110010",+91  011 25693063,NIL,NIL,NIL
