PHONE,COLLEGE NAME,STATE,DISTRICT,MAIL ID,PHONE
20,PATIALA POLYTECHNIC COLLEGE,Punjab,Patiala,ppcrakhra@gmail.com,46689
21,Bansal College of Engineering,Madhya Pradesh,Bhopal,director@bce.ac.in,7480295890
22,Corporate Institute of Science & Technology,Madhya Pradesh,Bhopal,corporate@corporatebpl.com,7771009742
23,"Institute of Hotel Management,Lucknow",Uttar Pradesh,Lucknow,ihmlucknow@gmail.com,5224077414
24,Deviprasad Goenka Management College of Media Studies Mimbai,Maharashtra,Mumbai,info@dgmcms.org.in,2266812351
25,G.H.RAISONI COLLEGE OF ENGINEERING,Maharashtra,Nagpur,principal.ghrce@raisoni.net,9604787185
26,HINDUSTAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Haryana,Ambala,hitm80@gmail.com,47208
27,BHIMESWAR INDUSTRIAL TRAINING CENTRE,Orissa,Kendujhar,bhimeswaritc@rediffmail.com,9439452636
28,SHYAM COLLEGE OF ENGINEERING & TECHNOLOGY,Rajasthan,Dausa,shyamcollege@gmail.com,8890209999
29,Holy Cross College of Nursing,Chhattisgarh,Surguja,holycrosscona@hotmail.com,769754122
30,Vidhyapeeth Institute Of Science And Technology,Madhya Pradesh,Bhopal,vidhyapeeth.bpl@gmail.com,7553255300
31,Asians Institute of Technology,Rajasthan,Tonk,info@ait.edu.in,1415113332
32,ROLAND INSTITUTE OF PHARMACEUTICAL SCIENCES,Orissa,Ganjam,principal@rips.ac.in,6802404199
33,LAZARUS SCHOOL OF NURSING,Andhra Pradesh,Visakhapatnam,principal.lazarus@gmail.c,8912514511
34,nalanda institute of technology,Orissa,Khordha,principalnitbbsr@yahoo.co.in,
35,M. S. Ramaiah Management Institute,Karnataka,Bangalore,dean@msrim.org,23601947
36,Noida Institute of EngineeringTechnology,Uttar Pradesh,Gautam Buddha N,rgeagristrar@niet.co.in,1202320132
37,Murshidabad College  of Engg. & Technology,West Bengal,Murshidabad,mcet.registrar@gmail.com,277267
38,Seemanta Engineering College,Orissa,Mayurbhanj,principal@seemantaengg.ac,222808
39,Millennium Institute Of Technology,Madhya Pradesh,Bhopal,mgiadcell@gmail.com,4026000
40,Gravismeds School of Nursing,Andhra Pradesh,Hyderabad,info@visakha.in,
41,Yashoda School Of Nursing,Andhra Pradesh,Hyderabad,yson2244@gmail.com,40240725
42,Lakshmi School of Nursing,Andhra Pradesh,Hyderabad,lson2244@gmail.com,9866168284
43,Poulomi School of Nurshing,Andhra Pradesh,Hyderabad,poulomihyd@gmail.com,9059506177
44,"VMKVEC, SALEM",Tamil Nadu,Salem,Principal@vmkvenggcollege,4272477218
45,"GANDHI POLYTECHNIC, BERHAMPUR",Orissa,Ganjam,Director@giit.ac.in,
46,FILM AND TELEVISION INSTITUTE OF INDIA,Maharashtra,Pune,tutorial_sec@ftiindia.com,
47,"SHANKARA INSTITUTEOF TECHNOLOGY,",Rajasthan,Jaipur,info@shankaratechnology.org,
48,SUBHARTI INSTITUTE OF TECHNOLOGY & ENGINEERING,Uttar Pradesh,Meerut,subharti.uni@gmail.com,
49,NATIONAL INSTITUTE OF AGRICULTURAL EXTENSION MANAGEMENT,Andhra Pradesh,Hyderabad,helpline@manage.gov.in,
50,School of  Nursing Holy Cross Hospital Kunkuri,Chhattisgarh,Jashpur,hchnursing@gmail.com,
51,"Shri Shankaracharya Engineering College, Durg",Chhattisgarh,Durg,ssgi@ssgi.edu.in,
52,Kanti Darshan Mahavidyalaya,Chhattisgarh,Durg,rkshri41@gmail.com,
53,Agrasen College,Chhattisgarh,Durg,agrasencollege@ymail.com,
54,"Maitri College of Dentistry and Research Center, Durg",Chhattisgarh,Durg,mdcrc@sify.com,
55,Dr. Rajendra Prasad Arts & Commerce College,Chhattisgarh,Durg,rpcollege@gmail.com,
56,"Apollo College, Durg",Chhattisgarh,Durg,info@apollocollegedurg.com,
57,SHIVA COLLEGE,Chhattisgarh,Durg,info@shivacollege.com,
58,Rungta College of Science & Technology,Chhattisgarh,Durg,info@rungtacolleges.com,
59,Vipra Physical Education College,Chhattisgarh,Raipur,vipracollege@gmail.com,
60,St. vincent Pallotti College,Chhattisgarh,Raipur,hr@stvincentpallotticollege.org,
61,"INSTITUTE OF TEACHERS EDUCATION, RAIPUR",Chhattisgarh,Raipur,iteite15@yahoo.in,7712262193
62,"Rungta College of Engineering and Technology, Raipur",Chhattisgarh,Raipur,info@rungta.ac.in,
63,Shri Ram College,Chhattisgarh,Raipur,srcsaragaon@gmail.com,
64,Kruti Institute of Teacher  Education,Chhattisgarh,Raipur,info@kiteindia.in,
65,Aricent B.ed college.,Chhattisgarh,Raigarh,aricenteducation@gmail.com,
66,Kamlakant Shukla Insitute,Chhattisgarh,Baloda Bazaar,info@kksit.in,
67,ZAKIR HUSAIN POST GRADUATE EVENING COLLEGE,Delhi,Central Delhi,zhpge.college@gmail.com,
68,CH. Brahm Prakash Government Engineering College,Delhi,South West Delhi,cbpgec@gmail.com,
69,"SVNIT, Surat",Gujarat,Surat,registrar@svnit.ac.in,
70,"New Kalpana Chawla College of Education, Hisar",Haryana,Hisar,info@kalpanachawlacollege.com,
71,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, KANGRA (NIFT)",Himachal Pradesh,Kangra,directoradmn.nift@gmail.com,
72,IEC University,Himachal Pradesh,Solan,"deputy.registrar@iecunivesity.com,admissions@iecuniversity.com",9459898200
73,"Symbiosis Institute of Business Management, Bangalore",Karnataka,Bangalore,emba_pgdm@sibm.edu.in,
74,NEW HORIZON COLLEGEOF ENGINEERING,Karnataka,Bangalore,chairman@newhorizonindia.edu,
75,Basavakalyan Engineering College,Karnataka,Bidar,principalbetbkec@gmail.co,8481254264
76,Holy Cross School of Nursing,Karnataka,Chamrajanagar,hcson443@gmail.com,
77,"Indore Institute of Science & Technology, Indore",Madhya Pradesh,Indore,principal@indoreinstitute.com,
78,Vidyasagar Institute of Technology,Madhya Pradesh,Indore,vimbhopal97@gmail.com,
79,Mansarovar Institute of Science & Technology,Madhya Pradesh,Bhopal,info@masarovargroup.com,
80,Aisect University,Madhya Pradesh,Bhopal,info@aisectuniversity.ac.in,
81,"PARMAR INSTITUTE OF PROFESSIONAL STUDIES, GWALIOR",Madhya Pradesh,Gwalior,parmar.prasant91@gmail.com,
82,Vishwakarma Institute of Management Pune  (VIT),Maharashtra,Pune,info@viit.ac.in,
83,"Symbiosis Law School, Pune",Maharashtra,Pune,slspinfo@symlaw.ac.in,
84,MIT College of Engineering,Maharashtra,Pune,mitcoe@mitpune.com,
85,PRIYADARSHINI INSTITUTE OF ENGINEERING & TECHNOLOGY,Maharashtra,Nagpur,principal.piet@ltjss.net,236463
86,Bhubaneswar Institute of Technology,Orissa,Khordha,info@bit.edu.in,9238428842
87,B.I.T Bhubaneswar,Orissa,Khordha,info@bit.edu.in,
88,"Indus College of Engineering,Bhubaneswar",Orissa,Khordha,info@indus.ac.in,
89,IMARAT UMAR TECHNICAL TRAINING CENTRE,Orissa,Sundargarh,nazim_imarat@rediff.com,
90,Rourkela Institute of Technical Education,Orissa,Sundargarh,info@ritrkl.ac.in,
91,Mewar University,Rajasthan,Chittorgarh,admission@mewaruniversity,1471291151
92,Rajdhani Institute of Technology and Management,Rajasthan,Jaipur,principal@rajdhanijaipur.org,
93,Padmavathi College of Nursing,Tamil Nadu,Dharmapuri,"padmavathinursing@gmail.com,sapthagirigroup@hotmail.com",
94,Padmavathi School of Nursing,Tamil Nadu,Dharmapuri,padmavathinursing@gmail.com,
95,NANDHA POLYTECHNIC COLLEGE,Tamil Nadu,Erode,akvelusamy2012@gmail.com,
96,Greater noida college of technology,Uttar Pradesh,Gautam Buddha N,gnairt@gnit.net,
97,ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY,Uttar Pradesh,Gautam Buddha N,ignafor @accurate.in,1202328235
98,Lucknow Institute Of Technology,Uttar Pradesh,Lucknow,contact@litlucknow.ac.in,
99,S.R INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Uttar Pradesh,Lucknow,srimtedu@gmail.com,
100,"IIJMC, Lucknow",Uttar Pradesh,Lucknow,"info@iijmc.com,iijmclko@gmail.com",
101,KASHI  INSTITUTE  OF  TECHNOLOGY,Uttar Pradesh,Varanasi,kashi.inst.tech@gmail.com,
102,BANARAS HINDU UNIVERSITY,Uttar Pradesh,Varanasi,co.masw.bhu@gmail.com,5422369955
103,"ASSAM UNIVERSITY,SILCHAR(A CENTRAL UNIVERSITY)(SCHOOL OF TECHNOLOGY)",Assam,Cachar,registrar@aus.ac.in,
104,"National Institute of Technology, Silchar",Assam,Cachar,akarim@nits.ac.in,
105,Assam Medical College,Assam,Dibrugarh,principalamch@rediffmail.com,
106,Tezpur University,Assam,Sonitpur,admn@tezu.ernet.in,
107,Surguja University,Chhattisgarh,Surguja,registrarsua@yahoo.co.in,
108,JMJ College of Nursing,Andhra Pradesh,Hyderabad,jmjnursing@rediffmail.com,
109,Delhi College of Engineering,Delhi,New Delhi,admission@dspsr.in,
110,Grant Medical College,Maharashtra,Mumbai,gmcacad@gmail.com,
111,Bombay Flying Club,Maharashtra,Mumbai,principal@bfcaviation.com,
112,Ali Yavar Jung National Institute for the Hearing Handicapped,Maharashtra,Mumbai,ayjnihh-mum@nic.in,
113,Tata Institute of Social Science,Maharashtra,Mumbai,"iso@tiss.edu ,shinde@tiss.edu",
114,National Institute of Technology,Andhra Pradesh,Warangal,director@nitw.ac.in,
115,KRUPAJAL ENGINEERING COLLEGE,Orissa,Khordha,"city_office@krupajal.ac.in,kec_principal@krupajal.ac.in",6742465129
116,PRIST UNIVERSITY,Tamil Nadu,Thanjavur,registrar@prist.ac.in,
117,BHARATH INSTITUE OF HIGHER EDUCATION & RESEARCH,Tamil Nadu,Chennai,"office@bharathuniv.ac.in,vc@bharathuni",
118,DURGAPUR INSTITUTE OF ADVANCE TECHNOLOGY AND MANAGEMENT,West Bengal,Bardhaman,"registrar@rahul.ac.in,diatmdgp@gmail.com",2520712
119,ALPHA COLLEGE OF ENGINEERING,Karnataka,Bangalore,alphacollege.engineering@gmail.com,
120,SRI RAWATPURA SARKAR INSTITUTE OF TECH & SCIENCE,Madhya Pradesh,Datia,nationalconsortium.sri@gmail.com,238383
121,MANGALMAY INSTITUTE OF MANAGEMENT & TECHNOLOGY,Uttar Pradesh,Gautam Buddha N,"principal@educationmangal.in,garatulmangal@yahoo.com, info@mimt.org",
122,Bhabha Institute of Technology,Bihar,Gaya,bodhgayabhabha@gmail.com,2210186
123,GURU NANAK INSTITUTE OF TECHNOLOGY,West Bengal,Kolkata,info.gnit@jisgroup.org,25637929
124,DON BOSCO INSTITUTE OF TECHNOLOGY,Karnataka,Bangalore,dbit.ao@gmail.com,
125,KARNAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Haryana,Karnal,info@kitmkarnal.com,
126,NIMS UNIVERSITY,Rajasthan,Jaipur,registrar@nimsuniversity.org,
127,INSTITUTE OF MANAGEMENT BHUBANESWAR,Orissa,Khordha,imis@imis.ac.in,
128,SATHYABAMA UNIVERSITY,Tamil Nadu,Chennai,registrar@sathyabamauniversity.ac.in,4424503243
129,JAGANNATH INSTITUTE FOR TECHNOLOGY & MANAGEMENT,Orissa,Gajapati,pa2prinicipal@cutm.ac.in,9437647478
130,ST. THOMAS COLLEGE OF ENGINEERING & TECHNOLOGY,West Bengal,Kolkata,stcet@stcet.ac.in,3324481081
131,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Madhya Pradesh,Bhopal,director.bhopal@nift.ac.in,
132,"GOVERNMENT ENGINEERING COLLEGE, AJMER",Rajasthan,Ajmer,principal@ecajmer.ac.in,26717173
133,IAMR COLLEGE OF ENGINEERING,Uttar Pradesh,Meerut,iamrmeerut08@rediffmail.com,
134,Jan Nayak Ch. Devi Lal College of Engineering,Haryana,Sirsa,principaljcdcoe@gmail.com,299151
135,Bihar College of Pharmacy,Bihar,Patna,info@biharcollegeofpharmacy.com,
136,Indian Institute of Health Education & Research,Bihar,Patna,info@iiher.com,
137,Indraprasth Institute of Aeronautics,Haryana,Gurgaon,"iia7@rediffmail.com,",2214021
138,PRESTON COLLEGE,Madhya Pradesh,Gwalior,www.prestoncollege.in,256930
139,KK Polytechnic,Bihar,Nalanda,info@kkpolytechnic.in,290482
140,NATIONAL INSTITUTE OF TECHNOLOGY  PATNA,Bihar,Patna,skverma@nitp.ac.in,6122687419
141,NITIE,Maharashtra,Mumbai,mdph.nitie@gmail.com,
142,Indian Institute of Management,West Bengal,Kolkata,director@iimcal.ac.in,
143,Al-Falah School of Engineering & Technology (AFSET)?,Haryana,Faridabad,info@alfalahuniversity.edu.in,9818834908
144,Swami Devi Dayal College of Nursing,Haryana,Panchkula,sddiet_panchkula@yahoo.co,258266
145,Swami Devi Dyal College of Technical Education,Haryana,Panchkula,admission@sddgpi.com,9988889031
146,NATIONAL INSTITUTE OF TECHNOLOGY SILCHAR,Assam,Cachar,head.nit.s@gmail.com,
147,NATIONAL INSTITUTE OF TECHNOLOGY KURUKSHETRA,Haryana,Kurukshetra,registrar@nitkkr.ac.in,
148,VISVESVARAYA NATIONAL INSTITUTE OF TECHNOLOGHY NAGPUR,Maharashtra,Nagpur,dr_acd@vnit.ac.in,
149,NATIONAL INSTITUTE OF TECHNOLOGY  CALICUT KERALA,Kerala,Kozhikode,director@nitc.ac.in,
150,NATIONAL INSTITUTE OF TECHNOLOGY  RAIPUR,Chhattisgarh,Raipur,registrar@nitrr.ac.in,
151,INDIAN INSTITUTE OF TECHNOLOGHY DELHI,Delhi,New Delhi,webmaster@admin.iitd.ac.in,
152,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Delhi,New Delhi,admission@niftindia.com,
153,INDIAN INSTITUTE OF TECHNOLOGY MADRAS,Tamil Nadu,Chennai,registrar@iitm.ac.in,
154,VELLORE INSTITUTE OF TECHNOLOGY,Tamil Nadu,Vellore,director.ir@vit.ac.in,
155,NATIONAL INSTITUTION OF TECHNOLOGY ROURKELA,Orissa,Sundargarh,ar-acaugpg@nitrkl.ac.in,
156,Vidya Vikas Institute of Engineering & Technology,Karnataka,Mysore,info@vidyavikas.edu.in,2471232
157,Dileef College of Nursing,Andhra Pradesh,Nellore,dileefnursing@gmail.com,8612366250
158,Technocrats institute of technology (excellence),Madhya Pradesh,Bhopal,titexcellence0191@gmail.c,8305279360
159,Malaviya National Inst. Of Technology,Rajasthan,Jaipur,ugscholarship.mnit@gmail.com,
160,"School of Planning & Architecture, Delhi",Delhi,New Delhi,spandregistrar@gmail.com,
161,"Institute of Technoloty, Banaras Hindu University",Uttar Pradesh,Varanasi,registrar@iitbhu.ac.in,
162,Indian Institute of Information Technology,Andhra Pradesh,Hyderabad,"placements@iiit.ac.in ,query@iiit.ac.in",
163,Birla Institute of  Technology,Andhra Pradesh,Hyderabad,bits6065@gmail.com,
164,Indian Institute of Management Raipur,Chhattisgarh,Raipur,cao@iimraipur.ac.in,
165,Indian Institute of Forest Management,Madhya Pradesh,Bhopal,pfm@iifm.ac.in,7552775716
166,Bharati Vidyapeeth,Maharashtra,Pune,info@bharatividyapeeth.edu,
167,L.N. Mishra Institute of  Economic Development & Social Change,Bihar,Patna,lnmipat@gmail.com,
168,National Institute of Rural Development,Andhra Pradesh,Hyderabad,"cit@nird.gov.in,admin@nird.gov.in,regr@nird.gov.in,",
169,National Law Institute University,Madhya Pradesh,Bhopal,nliu@nliu.ac.in,
170,Hidayatullah National Law University,Chhattisgarh,Raipur,registrar@hnlu.ac.in,
171,Gandhi Medical College,Andhra Pradesh,Hyderabad,gmc_hyd@ap.nic.in,
172,B J Medical College,Gujarat,Ahmedabad,dean.bjmc@hotmail.com,
173,"Institute of  Medical Sciences, Banaras Hindu University",Uttar Pradesh,Varanasi,directorims@gmail.com,
174,King Edward Memorial Hospital,Maharashtra,Mumbai,websitecontact@kem.edu,
175,Central Institute of Agricultural Engineering,Madhya Pradesh,Bhopal,pst@ciae.res.in,
176,Indian Statistical Institute,West Bengal,Kolkata,postmaster@isical.ac.in,
177,COLLEGE OF ENGINEERING,Orissa,Khordha,principal@oec.ac.in,
178,Emax School of Engg & Applied Research,Haryana,Ambala,info@emaxinstitutes.com,1734269700
179,Rajarajeshwari College Of Nursing,Karnataka,Bangalore,rajarajeswaricollegeofnursing@gmail.co,9448057163
180,National Institute of Fashion Technology,Tamil Nadu,Chennai,admission@niftindia.com,
181,National Institute of Fashion Technology,Andhra Pradesh,Hyderabad,nift.hyderabad@nift.ac.in,
182,National Institute of Fashion Technology,West Bengal,Kolkata,nift.hyderabad@nift.ac.in,
183,National Institute of Fashion Technology,Bihar,Patna,director.patna@nift.ac.in,
184,National Institute of Design,Gujarat,Ahmedabad,academic@nid.edu,
185,"Institute of Hotel Management, Catering & Nutrition",Delhi,New Delhi,ihmpusa@rediffmail.com,
186,"Institute of Hotel Management, Catering Technoloty & Applied Nutrition",Rajasthan,Jaipur,ihm_jpr@rediffmail.com,
187,"Institute of Hotel Management, Catering Technoloty & Applied Nutrition",West Bengal,Kolkata,"mail@ihmkolkata.org,",
188,Andhra Pradesh Flying Club,Andhra Pradesh,Hyderabad,apaahyd@gmail.com,
189,Rajasthan State Flying School,Rajasthan,Jaipur,rsfsengg@gmail.com,
190,National Institute for the Orthopaedically Handicapped,West Bengal,Kolkata,mail@nioh.in,
191,Film and Television Institute  of India,Maharashtra,Pune,"tutorial_sec@ftiindia.commultimedia@ftiindia.com",
192,GANDHI INSTITUTE OF INDUSTRIAL TECHNOLOGY,Orissa,Ganjam,giitberhampur@rediffmail.com,
193,BANSTHALI UNIVERSITY,Rajasthan,Tonk,"saditya@banasthali.ac.in ,pchitra@banasthali.ac.in",
194,B.I.T EXTENTION ALLAHABAD,Uttar Pradesh,Allahabad,bitallahabad@bitmesra.ac.in,
195,TATA INSTITUTE OF SOCIAL SCIENCES,Maharashtra,Mumbai,vikram.bairagi@tiss.edu,
196,"NIFT, MUMBAI",Maharashtra,Navi Mumbai,nift.mumbai@nift.ac.in,
197,SRI SIDDHARTHA INSTITUTE OF TECHNOLOGY,Karnataka,Tumkur,principal@ssit.edu.in,
198,INSTITUTE OF ADVANCED MANAGEMENT,West Bengal,Kolkata,rina.majumder@iam.ac.in,
199,TRUBA INSTITUTE OF ENGG & IT,Madhya Pradesh,Bhopal,registrartieit@trubainsti,7552734691
200,"DAYANANDA SAGAR COLLEGE, BANGALORE",Karnataka,Bangalore,ppl-dsce@dayanandasagar.edu,
201,MARINE ENGINEERING & RESEARCH INSTITUTE,Maharashtra,Mumbai,director.mum@imu.co.in,
202,"ENGINEERING COLLEGE, BIKANER",Rajasthan,Bikaner,principal@ecb.ac.in,
203,VEL TECH DR. RR & DR. SR TECHNICAL UNIVERSIY,Tamil Nadu,Chennai,admission@vel-tech.org,
204,"RURAL ENGG. COLLEGE ,BHALKI",Karnataka,Bidar,bipinji@yahoo.com,
205,"SIKKIM MANIPAL UNIVERSITY,DELHI",Delhi,South Delhi,"info@smudelhi.in ,smucordinator@iacm-india.com, dec@iacm-india.com",
206,DOON PG COLLEGE OF AGRI. SC. & TECH,Uttarakhand,Dehradun,doonmedagri@rediffmail.com,
207,SAGAR INSTITUTE OF RESEARCH & TECHNOLOGY,Madhya Pradesh,Bhopal,registrar.sirte@gmail.com,7553983180
208,MATS UNIVERSITY,Chhattisgarh,Raipur,info@matsuniversity.ac.in,
209,"VNIT,NAGPUR",Maharashtra,Nagpur,dr_acd@vnit.ac.in,
210,SUBAS INSTITUTE OF TECHNOLOGY (SIT),Orissa,Khordha,subas.academic@gmail.com,
211,RATTAN INSTITUTE OF TECHNOLOGY & MANAGEMENT,Haryana,Palwal,info@rattaninstitute.ac.in,
212,KOUSTUV INSTITUTE OF TECHNOLOGY BHUBANESWAR,Orissa,Khordha,kit@koustuvgroup.ac.in,
213,"NIFT, KOLKATA",West Bengal,Kolkata,jointdirectorkolkata@nift.ac.in,
214,SIR MVIT BANGALORE,Karnataka,Bangalore,principal@sirmvit.edu,
215,REVA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Karnataka,Bangalore,principal@revainstitution,
216,C.V.RAMAN COLLEGE OF ENGINEERING,Orissa,Khordha,dsw@cvrgi.edu.in,
217,SCHOOL OF NURSING DUNCAN HOSPITAL,Bihar,East Champaran,info@ehausa.org,
218,JAIPUR ENGINEERING COLLEGE & RESEARCH CENTER,Rajasthan,Jaipur,info@jecrcmail.com,
219,MALOUT INSTITUTE OF MANAGEMENT & INFO TECH,Punjab,Muktsar,principalmimitmalout@gmail.com,1637504302
220,"ST. THOMAS COLLEGE, BHILAI",Chhattisgarh,Durg,info@stthomascollege.net,
221,BHABHA ENGINEERING RESEARCH INSTITURE,Madhya Pradesh,Bhopal,bhabhaacad0129@gmail.com,7554008887
222,ADESH INSTITUTE OF ENGINEERING & TECHNOLOGY,Punjab,Faridkot,aietfaridkot@gmail.com,1639240001
223,INSTITUTE OF ADVANCED COMPUTER & RESEARCH,Orissa,Rayagada,"iacr_engg@yahoo.com,",
224,FUTURE INSTITUE OF ENGINEERING & MANAGEMENT,West Bengal,Kolkata,fiem.administration@teamfuture.in,
225,AMRITSAR COLLEGE OF ENGINEERING & TECHNOLOGY,Punjab,Amritsar,contact@acetamritsar.org,
226,"FACULTY OF ENGINEERING & TECHNOLOGY,GKU, HARIDWAR",Uttarakhand,Haridwar,registrar@gkv.ac.in,
227,"RKDF INSITUTE OF SCIENCE & TECHNOLOGY, BHOPAL",Madhya Pradesh,Bhopal,rkdfist.95@rediffmail.com,
228,NIFT - GANDHINAGAR,Gujarat,Gandhinagar,"jointdirector.gandhinagar@gmail.com,director.gandinagar@nift.ac.in",
229,SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY,Sikkim,East Sikkim,smit@smu.edu.in,3592246353
230,"NALANDA INSTITUTE OF TECHNOLOGY,BBSR",Orissa,Khordha,nitbbsr_2007@yahoo.co.in,
231,"ST XAVIERS COLLEGE, KOLKATA",West Bengal,Kolkata,principal@sxccal.edu,
232,BHUBANESWAR ENGINEERING COLLEGE (BEC),Orissa,Khordha,info@becbbsr.ac.in,6755211540
233,GLOBAL ACADEMY OF TECHNOLOGY BANGALORE,Karnataka,Bangalore,"info@gat.ac.in,admissions@gat.ac.in",
234,ADVENTIST COLLEGE OF NURSING,Karnataka,Bangalore,acn@acnhs.edu.my,
235,NIT DURGAPUR,West Bengal,Bardhaman,deanac@admin.nitdgp.ac.in,3432755211
236,KOSHYS COLLEGE OF NURSING,Karnataka,Bangalore,info@koshysinstitutions.com,
237,SRI SANT GADGE BABA COLLEGE OF ENGG.&TECH,Maharashtra,Jalgaon,rps125@rediffmail.com,224364
238,KRUPAJAL ENGG. COLLEGE,Orissa,Khordha,kec_principal@krupajal.ac.in,
239,"SILICON INSTITUTE OF TECHNOLOGY, SAMBALPUR",Orissa,Sambalpur,directorwest@silicon.ac.in,
240,BANASTHALI VIDYAPITH,Rajasthan,Jaipur,deanadmin@banasthali.ac.in,
241,NIT TIRUCHIRAPPALLI,Tamil Nadu,Tiruchirappalli,dean@nitt.edu,
242,SEEMANTA INSTITUTE OF PHARMACEUTICAL SCIENCES,Orissa,Mayurbhanj,sipspharmacy@gmail.com,
243,"INSTITUTE OF  HOTEL MANAGEMENT,BANGALORE",Karnataka,Bangalore,ihmbengaluru@gmail.com,
244,GANDHI ENGINEERING COLLEGE,Orissa,Khordha,info@gandhi.ac.in,7381054170
245,HERITAGE INSTITUTE OF TECHNOLOGY,West Bengal,Kolkata,admin@heritageit.Edu,9830014571
246,SAROJ MOHAN INSTITUTE OF TECHNOLOGY,West Bengal,Hooghly,info@smit.ac.in,
247,LOVELY PROFESSIONAL UNIVERSITY,Punjab,Kapurthala,anil.11928@lpu.co.in,8146100818
248,RADHARAMAN INSTITUTE OF TECHNOLOGY & SCIENCE,Madhya Pradesh,Bhopal,directorrits2003@gmail.co,7552896660
249,PURUSHOTTAM INSTITUTE OF ENGINEERING & TECHNOLOGY,Orissa,Sundargarh,rkl_piet@piet.ac.in,
250,"INTEGRAL UNIVERSITY, LUCKNOW",Uttar Pradesh,Lucknow,info@integraluniversity.ac.in,
251,OXFORD COLLEGE OF ENGINEERING & MANAGEMENT,Orissa,Khordha,oxfordcollegeofengg@gmail.com,
252,NETAJI SUBHASH ENGINEERING COLLEGE,West Bengal,Kolkata,director_nsec@yahoo.co.in,3324361285
253,SRI SATYA SAI COLLEGE OF ENGINEERING,Madhya Pradesh,Bhopal,ssscerkdf@gmail.com,9893877564
254,MAHAVIR INSTITUTE OF ENGINEERING & TECHNOLOGY,Orissa,Khordha,info@miet.edu.in,6742556582
255,BENGAL COLLEGE OF ENGINEERING AND TECHNOLOGY,West Bengal,Bardhaman,bcet_dgp@rediffmail.com,3432533187
256,SOBHASARIA ENGINEERING COLLEGE,Rajasthan,Sikar,info@secs.ac.in,
257,MALLABHUM  INSTITUTE OF TECH.,West Bengal,Bankura,info@mitbishnupur.ac.in,
258,RAJEEV GANDHI PROUDYOGIK MAHAVIDYALAYA,Madhya Pradesh,Bhopal,"egov@rgtu.net , vcoffice@rgtu.net",9826910622
259,MAGHNAD SAHA INSTITUTE OF TECHNOLOGY,West Bengal,Kolkata,msitcollege09@gmail.com,
260,STANI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Rajasthan,Jaipur,smcet@smcet.in,
261,ADITYA ENGINEERING COLLEGE,Andhra Pradesh,East Godavari,principal@aec.edu.in,
262,Godavari Institute of Engineering & Technology,Andhra Pradesh,East Godavari,principal@giet.ac.in,
